,Distance,Elevation Gain,Max Grade,Average Grade,Moving Time
134,37.82,201.09912109375,8.600000381469727,-0.0095172133296728,4625.0
135,46.87,286.0941772460937,8.0,0.0002133301459252,6012.0
136,33.75,340.6473999023437,8.300000190734863,0.0,6453.0
138,44.81,226.98194885253903,8.399999618530273,0.0011157849803566,7398.0
139,95.92,938.0,17.299999237060547,0.0133442170917987,15055.0
140,33.7,472.8926696777344,11.600000381469728,-0.0100889606401324,6446.0
142,44.27,203.0,5.800000190734863,-0.0126490788534283,5469.0
143,58.55,1094.0,17.600000381469727,0.0027323104441165,12153.0
144,44.06,219.9561920166016,6.400000095367432,0.0,5515.0
145,51.42,302.6809387207031,8.100000381469727,-0.0029171074274927,8217.0
148,75.79,484.0,14.199999809265137,0.0160953477025032,10056.0
149,54.43,275.8563537597656,7.5,-0.0066131372004747,6702.0
150,34.69,145.41893005371094,8.899999618530273,-0.0005764884990639,5234.0
151,46.16,242.78286743164065,9.0,0.0002166068152291,7720.0
153,55.44,324.9470520019531,11.399999618530272,0.0001803533814381,8866.0
154,36.89,282.9881591796875,7.199999809265137,0.017349062487483,6601.0
155,20.07,190.22120666503903,6.900000095367432,-0.0084696784615516,3765.0
156,46.95,229.0,5.900000095367432,-0.0140574779361486,6079.0
157,64.11,1069.930908203125,13.899999618530272,0.0003119604079984,10247.0
158,22.29,71.09011840820312,5.900000095367432,-0.0130096180364489,3343.0
159,35.14,142.15023803710938,8.199999809265137,0.0002845176786649,5260.0
160,91.71,1077.0,18.5,0.0080682793632149,16302.0
163,37.45,218.0,5.5,-0.0133507428690791,5248.0
165,35.49,325.0732116699219,8.100000381469727,-0.0180316735059022,6223.0
166,41.08,83.85662841796875,11.0,0.000243396643782,6198.0
167,70.73,429.0,8.300000190734863,-0.0127242468297481,10341.0
168,36.46,197.0,5.699999809265137,-0.0340104326605796,5328.0
169,27.83,403.0,13.800000190734863,0.005747580435127,4038.0
171,44.67,221.0,6.599999904632568,-0.0241775698959827,6444.0
172,14.09,220.0,6.800000190734863,-0.0581671670079231,2160.0
173,18.81,294.0,12.899999618530272,-0.0372096970677375,3774.0
175,5.74,69.0,16.700000762939453,0.8987511396408081,1214.0
176,19.65,142.0,11.699999809265137,0.0529022477567195,2762.0
177,29.69,332.0,14.300000190734863,-0.000673632021062,4922.0
178,10.7,616.0,11.0,0.0,5640.0
182,80.0,503.9956665039063,7.300000190734863,0.0,12308.0
183,34.95,323.0,6.699999809265137,-0.0251737851649522,5614.0
184,3.12,219.0,11.899999618530272,7.017207145690918,941.0
185,4.26,15.0,4.0,-0.1314553916454315,441.0
186,39.21,381.0,10.899999618530272,-0.0071401977911591,6467.0
187,10.58,896.0,15.0,8.45802116394043,3267.0
188,20.69,1081.0,18.299999237060547,4.07443380355835,4848.0
192,11.86,388.0,15.699999809265137,2.6634750366210938,2154.0
193,7.69,367.0,15.699999809265137,4.418610572814941,1774.0
194,5.42,206.0,24.799999237060547,3.64052152633667,1192.0
195,9.51,623.0,18.399999618530277,6.473866939544678,2706.0
197,11.26,941.0,19.799999237060547,8.354706764221191,3705.0
198,17.67,373.0,13.899999618530272,-0.8579221963882446,2176.0
199,10.0,881.0,20.200000762939453,8.739999771118164,3726.0
200,10.86,37.0,5.099999904632568,-0.3146737217903137,1032.0
201,15.7,351.0,18.200000762939453,1.190567135810852,2254.0
202,20.07,1449.0,16.799999237060547,7.216854095458984,5333.0
203,53.06,865.0,12.399999618530272,0.0297781154513359,8481.0
204,21.11,907.0,15.5,4.114026069641113,4229.0
205,22.04,597.0,14.300000190734863,0.4943624436855316,3412.0
206,15.25,295.0,8.5,0.2623088359832763,1967.0
207,44.71,1231.0,14.0,1.95594322681427,7401.0
208,30.45,1275.0,15.5,3.221262216567993,5901.0
209,14.99,778.0,20.0,3.126916885375977,3203.0
210,4.75,435.0,22.899999618530277,9.1578950881958,1943.0
211,20.1,84.0,5.699999809265137,-0.0417727567255497,3328.0
214,42.58,223.0,6.199999809265137,0.0032874112948775,5875.0
215,87.49,515.0,9.199999809265137,0.0157723482698202,13143.0
216,68.03,857.0,13.0,0.0002939810219686,10818.0
217,20.07,1449.0,16.0,7.216890335083008,6255.0
